Date,TA,M,RB,FG,MA,HC,V,RM,AG
2020-02-25,4206.0,1285.0,2412.0,800.0,2072.0,2051.0,4874.0,428.0,4954.0
2020-02-26,4132.0,1278.0,2384.0,797.0,2044.0,2028.0,4849.0,416.0,4907.0
2020-02-27,4066.0,1281.0,2367.0,787.0,2036.0,2008.0,4829.0,429.0,4892.0
2020-02-28,3984.0,1243.0,2289.0,776.0,1966.0,1931.0,4794.0,389.0,4669.0
2020-03-02,4030.0,1342.0,2369.0,793.0,2014.0,2019.0,4834.0,493.0,4600.0
2020-03-03,4074.0,1346.0,2384.0,788.0,2023.0,2024.0,4844.0,510.0,4578.0
2020-03-04,4092.0,1338.0,2424.0,793.0,2019.0,2051.0,4854.0,509.0,4663.0
2020-03-05,4078.0,1344.0,2405.0,791.0,2025.0,2047.0,4854.0,518.0,4657.0
2020-03-06,4020.0,1329.0,2384.0,783.0,2020.0,2025.0,4819.0,489.0,4681.0
2020-03-09,3808.0,1284.0,2380.0,762.0,1904.0,2019.0,4684.0,425.0,4506.0
2020-03-10,3680.0,1311.0,2401.0,768.0,1919.0,2038.0,4784.0,452.0,4595.0
2020-03-11,3686.0,1289.0,2398.0,772.0,1897.0,2041.0,4799.0,426.0,4598.0
2020-03-12,3604.0,1277.0,2393.0,770.0,1863.0,2034.0,4784.0,414.0,4506.0
2020-03-13,3598.0,1314.0,2409.0,752.0,1863.0,2042.0,4804.0,435.0,4293.0
2020-03-16,3506.0,1305.0,2381.0,726.0,1835.0,2018.0,4769.0,424.0,4068.0
2020-03-17,3434.0,1326.0,2404.0,713.0,1810.0,2013.0,4744.0,434.0,3714.0
2020-03-18,3330.0,1309.0,2381.0,700.0,1757.0,1964.0,4634.0,423.0,3518.0
2020-03-19,3196.0,1288.0,2333.0,671.0,1716.0,1943.0,4494.0,402.0,3449.0
2020-03-20,3292.0,1373.0,2255.0,670.0,1756.0,1834.0,4529.0,476.0,3654.0
2020-03-23,3152.0,1471.0,2166.0,630.0,1738.0,1715.0,4289.0,579.0,3641.0
2020-03-24,3092.0,1476.0,2242.0,655.0,1720.0,1807.0,4179.0,559.0,3853.0
2020-03-25,3138.0,1521.0,2261.0,667.0,1698.0,1809.0,4149.0,589.0,4042.0
2020-03-26,3104.0,1448.0,2237.0,647.0,1694.0,1761.0,3969.0,540.0,4025.0
2020-03-27,3054.0,1484.0,2225.0,641.0,1621.0,1771.0,3889.0,604.0,4077.0
2020-03-30,2888.0,1506.0,2138.0,626.0,1547.0,1679.0,3609.0,635.0,3873.0
2020-03-31,2968.0,1496.0,2129.0,624.0,1583.0,1671.0,3499.0,614.0,3943.0
2020-04-01,2902.0,1418.0,2065.0,601.0,1553.0,1599.0,3589.0,499.0,3911.0
2020-04-02,3048.0,1404.0,2125.0,607.0,1628.0,1678.0,3689.0,506.0,3998.0
2020-04-03,3088.0,1361.0,2085.0,549.0,1634.0,1635.0,3774.0,451.0,4059.0
2020-04-07,3142.0,1363.0,2102.0,568.0,1679.0,1663.0,3949.0,484.0,4273.0
2020-04-08,3132.0,1377.0,2140.0,571.0,1674.0,1703.0,3889.0,505.0,4196.0
2020-04-09,3218.0,1378.0,2202.0,571.0,1747.0,1749.0,3889.0,516.0,4206.0
2020-04-10,3202.0,1382.0,2269.0,583.0,1770.0,1809.0,3919.0,513.0,4231.0
2020-04-13,3118.0,1360.0,2283.0,526.0,1738.0,1820.0,3949.0,495.0,4207.0
2020-04-14,3154.0,1364.0,2280.0,546.0,1665.0,1800.0,3889.0,501.0,4287.0
2020-04-15,3144.0,1367.0,2269.0,576.0,1681.0,1796.0,3894.0,518.0,4216.0
2020-04-16,3092.0,1316.0,2281.0,557.0,1632.0,1834.0,3859.0,460.0,4289.0
2020-04-17,3078.0,1327.0,2277.0,598.0,1655.0,1835.0,3879.0,473.0,4198.0
2020-04-20,3038.0,1291.0,2258.0,583.0,1658.0,1818.0,3879.0,440.0,4185.0
2020-04-21,2940.0,1287.0,2233.0,563.0,1605.0,1785.0,3804.0,448.0,4206.0
2020-04-22,2754.0,1318.0,2271.0,567.0,1561.0,1811.0,3754.0,459.0,4059.0
2020-04-23,2966.0,1323.0,2234.0,555.0,1636.0,1773.0,3824.0,481.0,4207.0
2020-04-24,2970.0,1311.0,2247.0,575.0,1593.0,1792.0,3799.0,481.0,4226.0
2020-04-27,2920.0,1327.0,2228.0,588.0,1566.0,1778.0,3864.0,512.0,4184.0
2020-04-28,2960.0,1283.0,2207.0,571.0,1611.0,1762.0,3874.0,463.0,4110.0
2020-04-29,3026.0,1274.0,2214.0,588.0,1613.0,1770.0,3904.0,448.0,4170.0
2020-04-30,3052.0,1284.0,2263.0,596.0,1684.0,1823.0,3944.0,444.0,4207.0
2020-05-06,3124.0,1313.0,2292.0,624.0,1688.0,1855.0,4119.0,478.0,4177.0
2020-05-07,3130.0,1307.0,2335.0,637.0,1655.0,1906.0,4069.0,480.0,4154.0
2020-05-08,3130.0,1334.0,2340.0,645.0,1674.0,1928.0,4204.0,495.0,4286.0
2020-05-11,3106.0,1317.0,2339.0,667.0,1659.0,1922.0,4159.0,483.0,4290.0
2020-05-12,3084.0,1323.0,2349.0,672.0,1633.0,1933.0,4089.0,485.0,4267.0
2020-05-13,3072.0,1320.0,2355.0,695.0,1663.0,1938.0,4124.0,473.0,4293.0
2020-05-14,3096.0,1292.0,2341.0,688.0,1663.0,1945.0,4169.0,449.0,4303.0
2020-05-15,3182.0,1294.0,2358.0,670.0,1680.0,1966.0,4254.0,449.0,4477.0
2020-05-18,3208.0,1328.0,2417.0,696.0,1649.0,2041.0,4319.0,479.0,4720.0
2020-05-19,3220.0,1320.0,2437.0,704.0,1643.0,2062.0,4284.0,470.0,4662.0
2020-05-20,3324.0,1346.0,2421.0,706.0,1680.0,2045.0,4374.0,495.0,4801.0
2020-05-21,3324.0,1326.0,2448.0,715.0,1685.0,2066.0,4434.0,467.0,4686.0
2020-05-22,3228.0,1336.0,2394.0,691.0,1630.0,2013.0,4409.0,465.0,4622.0
2020-05-25,3260.0,1372.0,2381.0,756.0,1638.0,1997.0,4454.0,499.0,4639.0
2020-05-26,3264.0,1370.0,2365.0,758.0,1634.0,1998.0,4464.0,504.0,4760.0
2020-05-27,3238.0,1388.0,2373.0,749.0,1663.0,2011.0,4439.0,517.0,4697.0
2020-05-28,3272.0,1368.0,2380.0,755.0,1659.0,2021.0,4409.0,525.0,4763.0
2020-05-29,3222.0,1379.0,2450.0,756.0,1636.0,2095.0,4374.0,536.0,4778.0
2020-06-01,3304.0,1364.0,2447.0,764.0,1660.0,2106.0,4509.0,510.0,4987.0
2020-06-02,3298.0,1356.0,2503.0,774.0,1655.0,2134.0,4604.0,519.0,4953.0
2020-06-03,3338.0,1368.0,2504.0,765.0,1706.0,2091.0,4594.0,530.0,4860.0
2020-06-04,3276.0,1402.0,2475.0,755.0,1698.0,2071.0,4574.0,560.0,4771.0
2020-06-05,3308.0,1427.0,2481.0,764.0,1730.0,2094.0,4594.0,575.0,4797.0
2020-06-08,3378.0,1401.0,2497.0,764.0,1716.0,2121.0,4639.0,569.0,4783.0
2020-06-09,3362.0,1404.0,2501.0,747.0,1712.0,2127.0,4619.0,574.0,4769.0
2020-06-10,3344.0,1402.0,2475.0,751.0,1706.0,2096.0,4609.0,565.0,4805.0
2020-06-11,3314.0,1388.0,2484.0,772.0,1675.0,2113.0,4569.0,537.0,4836.0
2020-06-12,3302.0,1421.0,2509.0,781.0,1663.0,2149.0,4579.0,559.0,4769.0
2020-06-15,3266.0,1392.0,2466.0,779.0,1628.0,2117.0,4554.0,527.0,4663.0
2020-06-16,3324.0,1421.0,2490.0,780.0,1657.0,2147.0,4619.0,533.0,4693.0
2020-06-17,3344.0,1401.0,2481.0,774.0,1653.0,2136.0,4604.0,531.0,4731.0
2020-06-18,3332.0,1398.0,2503.0,773.0,1652.0,2181.0,4559.0,534.0,4733.0
2020-06-19,3356.0,1390.0,2541.0,778.0,1675.0,2219.0,4574.0,522.0,4759.0
2020-06-22,3346.0,1403.0,2529.0,782.0,1664.0,2196.0,4504.0,542.0,4835.0
2020-06-23,3334.0,1387.0,2517.0,781.0,1688.0,2173.0,4484.0,527.0,4794.0
2020-06-24,3332.0,1395.0,2513.0,811.0,1680.0,2174.0,4504.0,530.0,4828.0
2020-06-29,3256.0,1380.0,2458.0,800.0,1674.0,2130.0,4429.0,506.0,4807.0
2020-06-30,3278.0,1386.0,2475.0,804.0,1680.0,2145.0,4514.0,514.0,4818.0
2020-07-01,3278.0,1449.0,2481.0,817.0,1691.0,2143.0,4479.0,558.0,4908.0
2020-07-02,3292.0,1468.0,2483.0,824.0,1720.0,2140.0,4594.0,567.0,4829.0
2020-07-03,3298.0,1478.0,2524.0,817.0,1731.0,2170.0,4629.0,574.0,4848.0
2020-07-06,3320.0,1500.0,2525.0,829.0,1751.0,2189.0,4694.0,587.0,4851.0
2020-07-07,3260.0,1469.0,2538.0,857.0,1728.0,2207.0,4844.0,580.0,4860.0
2020-07-08,3272.0,1456.0,2586.0,861.0,1744.0,2246.0,4804.0,580.0,4901.0
2020-07-09,3264.0,1463.0,2607.0,872.0,1747.0,2266.0,4864.0,582.0,5008.0
2020-07-10,3210.0,1472.0,2580.0,865.0,1719.0,2240.0,4829.0,586.0,4922.0
2020-07-13,3244.0,1427.0,2636.0,914.0,1755.0,2302.0,4994.0,540.0,5052.0
2020-07-14,3246.0,1409.0,2648.0,926.0,1759.0,2308.0,4949.0,532.0,5047.0
2020-07-15,3246.0,1412.0,2650.0,938.0,1784.0,2313.0,4874.0,533.0,5083.0
2020-07-16,3230.0,1422.0,2616.0,931.0,1772.0,2290.0,4869.0,542.0,5066.0
2020-07-17,3200.0,1431.0,2630.0,973.0,1740.0,2311.0,4824.0,551.0,5016.0
2020-07-20,3176.0,1442.0,2609.0,957.0,1726.0,2292.0,4894.0,583.0,5071.0
2020-07-21,3198.0,1438.0,2658.0,997.0,1737.0,2336.0,4894.0,578.0,5323.0
2020-07-22,3198.0,1449.0,2687.0,996.0,1746.0,2356.0,4849.0,599.0,5595.0
2020-07-23,3218.0,1472.0,2700.0,975.0,1757.0,2386.0,4839.0,607.0,5872.0
2020-07-24,3216.0,1518.0,2640.0,982.0,1709.0,2316.0,4754.0,637.0,5818.0
2020-07-27,3198.0,1520.0,2617.0,981.0,1719.0,2301.0,4824.0,648.0,6190.0
2020-07-28,3220.0,1443.0,2621.0,987.0,1713.0,2300.0,4849.0,584.0,6250.0
2020-07-29,3216.0,1458.0,2652.0,972.0,1738.0,2338.0,4819.0,592.0,6222.0
2020-07-30,3228.0,1440.0,2654.0,1007.0,1722.0,2366.0,4894.0,581.0,6040.0
2020-07-31,3240.0,1453.0,2672.0,1030.0,1693.0,2383.0,4899.0,596.0,6194.0
2020-08-03,3196.0,1466.0,2724.0,1082.0,1682.0,2450.0,4974.0,615.0,6193.0
2020-08-04,3212.0,1443.0,2723.0,1132.0,1683.0,2461.0,4999.0,587.0,6201.0
2020-08-05,3248.0,1404.0,2721.0,1149.0,1685.0,2457.0,5084.0,554.0,6646.0
2020-08-06,3256.0,1389.0,2773.0,1157.0,1679.0,2473.0,4994.0,552.0,6943.0
2020-08-07,3294.0,1388.0,2772.0,1156.0,1689.0,2467.0,4954.0,538.0,7065.0
2020-08-10,3300.0,1378.0,2772.0,1161.0,1711.0,2460.0,4884.0,537.0,7105.0
2020-08-11,3292.0,1367.0,2760.0,1223.0,1704.0,2446.0,4929.0,523.0,7006.0
2020-08-12,3260.0,1369.0,2774.0,1213.0,1710.0,2468.0,4904.0,526.0,6637.0
2020-08-13,3240.0,1397.0,2762.0,1221.0,1698.0,2481.0,4904.0,545.0,6492.0
2020-08-14,3246.0,1411.0,2769.0,1206.0,1700.0,2480.0,4954.0,548.0,6579.0
2020-08-17,3250.0,1424.0,2801.0,1223.0,1694.0,2518.0,5064.0,554.0,6688.0
2020-08-18,3238.0,1432.0,2829.0,1230.0,1715.0,2568.0,5159.0,551.0,6930.0
2020-08-19,3222.0,1433.0,2817.0,1215.0,1713.0,2562.0,5124.0,545.0,6731.0
2020-08-20,3204.0,1434.0,2780.0,1205.0,1698.0,2568.0,5169.0,542.0,6584.0
2020-08-21,3200.0,1430.0,2776.0,1112.0,1718.0,2568.0,5099.0,531.0,6559.0
2020-08-24,3214.0,1433.0,2777.0,1134.0,1734.0,2535.0,5109.0,533.0,6269.0
2020-08-25,3226.0,1455.0,2749.0,1073.0,1738.0,2530.0,5114.0,580.0,6331.0
2020-08-26,3236.0,1467.0,2771.0,1088.0,1755.0,2519.0,5179.0,601.0,6306.0
2020-08-27,3218.0,1460.0,2762.0,1111.0,1750.0,2536.0,5134.0,598.0,6535.0
2020-08-28,3178.0,1477.0,2779.0,1186.0,1738.0,2560.0,5089.0,605.0,6572.0
2020-08-31,3224.0,1507.0,2824.0,1199.0,1770.0,2616.0,5144.0,620.0,6688.0
2020-09-01,3228.0,1490.0,2819.0,1166.0,1820.0,2644.0,5154.0,607.0,6847.0
2020-09-02,3276.0,1490.0,2823.0,1171.0,1827.0,2640.0,5209.0,608.0,6699.0
2020-09-03,3212.0,1500.0,2835.0,1136.0,1817.0,2648.0,5169.0,614.0,6452.0
2020-09-04,3190.0,1530.0,2799.0,1101.0,1844.0,2616.0,5099.0,644.0,6408.0
2020-09-07,3194.0,1542.0,2781.0,1099.0,1843.0,2570.0,5064.0,652.0,6426.0
2020-09-08,3208.0,1551.0,2764.0,1096.0,1816.0,2548.0,5029.0,658.0,6474.0
2020-09-09,3110.0,1533.0,2703.0,1096.0,1778.0,2458.0,4949.0,637.0,6357.0
2020-09-10,3124.0,1542.0,2685.0,1069.0,1777.0,2438.0,5104.0,636.0,6449.0
2020-09-11,3088.0,1591.0,2710.0,1084.0,1792.0,2485.0,5084.0,687.0,6388.0
2020-09-14,3106.0,1625.0,2709.0,1034.0,1819.0,2492.0,4999.0,723.0,6366.0
2020-09-15,3126.0,1625.0,2637.0,1032.0,1876.0,2436.0,5014.0,710.0,6449.0
2020-09-16,3138.0,1589.0,2620.0,1036.0,1874.0,2395.0,5044.0,673.0,6416.0
2020-09-17,3104.0,1599.0,2604.0,1033.0,1882.0,2393.0,5139.0,679.0,6284.0
2020-09-18,3128.0,1653.0,2614.0,1053.0,1867.0,2429.0,5124.0,743.0,6366.0
2020-09-21,3074.0,1645.0,2567.0,1021.0,1866.0,2367.0,5194.0,728.0,6241.0
2020-09-22,3058.0,1608.0,2559.0,1041.0,1804.0,2358.0,5104.0,696.0,5719.0
2020-09-23,3000.0,1594.0,2564.0,1051.0,1801.0,2372.0,5119.0,675.0,5465.0
2020-09-24,3018.0,1569.0,2571.0,1051.0,1786.0,2379.0,5009.0,653.0,5236.0
2020-09-25,3002.0,1563.0,2552.0,1048.0,1807.0,2369.0,5034.0,647.0,5469.0
2020-09-28,2936.0,1584.0,2563.0,1046.0,1781.0,2374.0,5034.0,651.0,5353.0
2020-09-29,2938.0,1564.0,2557.0,1061.0,1766.0,2380.0,5044.0,627.0,5504.0
2020-09-30,2898.0,1557.0,2581.0,1101.0,1707.0,2388.0,5034.0,624.0,5557.0
2020-10-09,2926.0,1654.0,2658.0,1111.0,1770.0,2472.0,5224.0,715.0,5592.0
2020-10-12,2952.0,1707.0,2658.0,1131.0,1811.0,2489.0,5319.0,791.0,5856.0
2020-10-13,2952.0,1675.0,2639.0,1110.0,1818.0,2478.0,5279.0,780.0,5789.0
2020-10-14,2992.0,1682.0,2633.0,1092.0,1830.0,2457.0,5309.0,781.0,5627.0
2020-10-15,3036.0,1690.0,2596.0,1078.0,1837.0,2411.0,5269.0,781.0,5600.0
2020-10-16,3058.0,1737.0,2604.0,1085.0,1855.0,2419.0,5274.0,797.0,5606.0
2020-10-19,3060.0,1735.0,2585.0,1070.0,1837.0,2423.0,5239.0,794.0,5715.0
2020-10-20,3066.0,1751.0,2583.0,1084.0,1820.0,2422.0,5209.0,817.0,5666.0
2020-10-21,3094.0,1735.0,2610.0,1062.0,1892.0,2460.0,5184.0,805.0,5759.0
2020-10-22,3050.0,1734.0,2608.0,1076.0,1870.0,2478.0,5154.0,805.0,5749.0
2020-10-23,3010.0,1698.0,2593.0,1070.0,1849.0,2457.0,5119.0,774.0,5681.0
2020-10-26,2962.0,1728.0,2582.0,1081.0,1826.0,2457.0,5149.0,797.0,5571.0
2020-10-27,2948.0,1732.0,2585.0,1107.0,1850.0,2474.0,5194.0,793.0,5671.0
2020-10-28,2914.0,1730.0,2623.0,1090.0,1864.0,2511.0,5244.0,790.0,5674.0
2020-10-29,2910.0,1684.0,2615.0,1083.0,1845.0,2502.0,5194.0,743.0,5435.0
2020-10-30,2842.0,1675.0,2646.0,1114.0,1838.0,2520.0,5294.0,737.0,5400.0
2020-11-02,2828.0,1677.0,2658.0,1107.0,1848.0,2534.0,5484.0,737.0,5566.0
2020-11-03,2856.0,1698.0,2648.0,1094.0,1866.0,2518.0,5489.0,752.0,5617.0
2020-11-04,2850.0,1718.0,2678.0,1097.0,1888.0,2533.0,5484.0,771.0,5542.0
2020-11-05,2778.0,1806.0,2670.0,1096.0,1863.0,2545.0,5444.0,854.0,5648.0
2020-11-06,2714.0,1796.0,2695.0,1107.0,1875.0,2559.0,5504.0,849.0,5816.0
2020-11-09,2738.0,1751.0,2764.0,1119.0,1888.0,2618.0,5649.0,805.0,5849.0
2020-11-10,2762.0,1761.0,2739.0,1124.0,1926.0,2577.0,5459.0,796.0,5547.0
2020-11-11,2862.0,1858.0,2746.0,1143.0,1962.0,2583.0,5349.0,853.0,5588.0
2020-11-12,2860.0,1831.0,2735.0,1142.0,1965.0,2570.0,5354.0,822.0,5558.0
2020-11-13,2848.0,1805.0,2740.0,1170.0,1972.0,2603.0,5604.0,811.0,5570.0
2020-11-16,2864.0,1792.0,2750.0,1177.0,1986.0,2625.0,5664.0,799.0,5708.0
2020-11-17,2862.0,1813.0,2805.0,1189.0,1996.0,2679.0,5714.0,805.0,5635.0
2020-11-18,2902.0,1817.0,2785.0,1167.0,1997.0,2663.0,5679.0,815.0,5579.0
2020-11-19,2918.0,1828.0,2806.0,1191.0,2005.0,2688.0,5649.0,832.0,5496.0
2020-11-20,2960.0,1867.0,2832.0,1189.0,2001.0,2705.0,5529.0,876.0,5521.0
2020-11-23,2948.0,1910.0,2771.0,1176.0,1997.0,2653.0,5634.0,916.0,5533.0
2020-11-24,2966.0,1882.0,2778.0,1179.0,2008.0,2673.0,5604.0,892.0,5373.0
2020-11-25,2968.0,1883.0,2792.0,1180.0,2017.0,2679.0,5609.0,889.0,5334.0
2020-11-26,2958.0,1879.0,2829.0,1200.0,1987.0,2741.0,5579.0,881.0,5377.0
2020-11-27,2978.0,1858.0,2868.0,1231.0,2006.0,2791.0,5749.0,857.0,5349.0
2020-11-30,2902.0,1882.0,2857.0,1223.0,2027.0,2804.0,5654.0,888.0,5125.0
2020-12-01,2914.0,1811.0,2857.0,1215.0,2062.0,2802.0,5864.0,827.0,5277.0
2020-12-02,2902.0,1763.0,2905.0,1245.0,2075.0,2886.0,5849.0,780.0,5460.0
2020-12-03,2948.0,1741.0,2867.0,1241.0,2043.0,2870.0,5849.0,773.0,5505.0
2020-12-04,3070.0,1769.0,2906.0,1251.0,2028.0,2923.0,5999.0,783.0,5544.0
2020-12-07,3130.0,1757.0,3005.0,1277.0,2056.0,3001.0,6154.0,786.0,5496.0
2020-12-08,3082.0,1739.0,3007.0,1311.0,2041.0,3014.0,6104.0,776.0,5631.0
2020-12-09,3044.0,1735.0,3082.0,1324.0,2108.0,3096.0,6304.0,781.0,5526.0
2020-12-10,3030.0,1774.0,3133.0,1346.0,2131.0,3169.0,6384.0,820.0,5422.0
2020-12-11,3102.0,1733.0,3126.0,1362.0,2231.0,3146.0,6564.0,779.0,5457.0
2020-12-14,3190.0,1756.0,3081.0,1338.0,2231.0,3138.0,6244.0,806.0,5454.0
2020-12-15,3160.0,1752.0,3166.0,1363.0,2271.0,3195.0,6284.0,791.0,5537.0
2020-12-16,3170.0,1787.0,3241.0,1359.0,2247.0,3239.0,6194.0,837.0,5686.0
2020-12-17,3230.0,1786.0,3268.0,1366.0,2259.0,3267.0,6119.0,858.0,5812.0
2020-12-18,3196.0,1827.0,3409.0,1403.0,2273.0,3430.0,6169.0,888.0,5856.0
2020-12-21,3172.0,1933.0,3553.0,1434.0,2267.0,3563.0,6269.0,988.0,6161.0
2020-12-22,3136.0,1951.0,3461.0,1384.0,2223.0,3519.0,6114.0,997.0,5842.0
2020-12-23,3130.0,1965.0,3375.0,1392.0,2184.0,3430.0,6124.0,1025.0,5789.0
2020-12-24,3166.0,1957.0,3404.0,1357.0,2265.0,3405.0,6059.0,1007.0,5877.0
2020-12-25,3180.0,1958.0,3449.0,1366.0,2214.0,3410.0,5874.0,1011.0,5867.0
2020-12-28,3132.0,1962.0,3360.0,1303.0,2119.0,3239.0,5739.0,1016.0,6027.0
2020-12-29,3124.0,1925.0,3345.0,1309.0,2092.0,3222.0,5729.0,978.0,5949.0
2020-12-30,3138.0,2020.0,3377.0,1304.0,2122.0,3257.0,5744.0,1056.0,6015.0
2020-12-31,3174.0,2127.0,3493.0,1311.0,2153.0,3378.0,5779.0,1149.0,6033.0
2021-01-04,3278.0,2132.0,3500.0,1321.0,2161.0,3336.0,5859.0,1143.0,6147.0
2021-01-05,3244.0,2128.0,3503.0,1293.0,2172.0,3338.0,5819.0,1140.0,6177.0
2021-01-06,3304.0,2182.0,3480.0,1280.0,2142.0,3349.0,5839.0,1175.0,6160.0
2021-01-07,3406.0,2165.0,3559.0,1287.0,2136.0,3485.0,5819.0,1160.0,6124.0
2021-01-08,3372.0,2175.0,3577.0,1290.0,2073.0,3475.0,5649.0,1193.0,6052.0
2021-01-11,3250.0,2227.0,3454.0,1288.0,2083.0,3293.0,5589.0,1238.0,5562.0
2021-01-12,3300.0,2239.0,3437.0,1278.0,2098.0,3297.0,5674.0,1261.0,5687.0
2021-01-13,3396.0,2376.0,3402.0,1248.0,2118.0,3279.0,5689.0,1390.0,5688.0
2021-01-14,3378.0,2337.0,3405.0,1194.0,2074.0,3267.0,5669.0,1372.0,5634.0
2021-01-15,3376.0,2321.0,3474.0,1208.0,2059.0,3350.0,5689.0,1333.0,5665.0
2021-01-18,3324.0,2304.0,3502.0,1265.0,2097.0,3347.0,5839.0,1315.0,5639.0
2021-01-19,3316.0,2297.0,3412.0,1263.0,2071.0,3211.0,5849.0,1316.0,5665.0
2021-01-20,3318.0,2163.0,3424.0,1266.0,2019.0,3256.0,5854.0,1181.0,5724.0
2021-01-21,3306.0,2190.0,3474.0,1283.0,2074.0,3275.0,6039.0,1197.0,5806.0
2021-01-22,3238.0,2102.0,3417.0,1298.0,2094.0,3215.0,6064.0,1120.0,5713.0
2021-01-25,3266.0,2046.0,3450.0,1319.0,2036.0,3276.0,5924.0,1059.0,5701.0
2021-01-26,3234.0,2054.0,3447.0,1275.0,1995.0,3284.0,5914.0,1057.0,5667.0
2021-01-27,3284.0,2141.0,3537.0,1285.0,2014.0,3383.0,5989.0,1126.0,5669.0
2021-01-28,3254.0,2110.0,3458.0,1286.0,2015.0,3323.0,6069.0,1096.0,5617.0
2021-01-29,3370.0,2105.0,3437.0,1283.0,2053.0,3285.0,6079.0,1101.0,5853.0
2021-02-01,3446.0,2121.0,3391.0,1303.0,2053.0,3224.0,5929.0,1118.0,6313.0
2021-02-02,3462.0,2063.0,3325.0,1276.0,2031.0,3174.0,5954.0,1067.0,6253.0
2021-02-03,3432.0,2064.0,3348.0,1273.0,2023.0,3209.0,6069.0,1052.0,5964.0
2021-02-04,3484.0,2125.0,3404.0,1309.0,2075.0,3251.0,6274.0,1119.0,5891.0
2021-02-05,3468.0,2146.0,3428.0,1324.0,2085.0,3302.0,6254.0,1155.0,5841.0
2021-02-08,3494.0,2098.0,3494.0,1334.0,2098.0,3402.0,6279.0,1130.0,5957.0
2021-02-09,3502.0,2154.0,3563.0,1356.0,2095.0,3457.0,6329.0,1176.0,6010.0
2021-02-10,3478.0,2109.0,3556.0,1354.0,2014.0,3462.0,6339.0,1145.0,5981.0
2021-02-18,3636.0,2116.0,3692.0,1395.0,2113.0,3562.0,6634.0,1176.0,5973.0
2021-02-19,3632.0,2097.0,3680.0,1393.0,2165.0,3543.0,6839.0,1162.0,5916.0
2021-02-22,3754.0,2149.0,3736.0,1434.0,2220.0,3662.0,7219.0,1211.0,6118.0
2021-02-23,3900.0,2234.0,3712.0,1437.0,2228.0,3657.0,7229.0,1283.0,6233.0
2021-02-24,4048.0,2225.0,3767.0,1439.0,2230.0,3667.0,7119.0,1291.0,6127.0
2021-02-25,4218.0,2222.0,3833.0,1490.0,2295.0,3759.0,7174.0,1299.0,6185.0
2021-02-26,4106.0,2081.0,3829.0,1482.0,2242.0,3750.0,7189.0,1150.0,5926.0
2021-03-01,4088.0,2079.0,3806.0,1513.0,2271.0,3729.0,7024.0,1135.0,5947.0
2021-03-02,3898.0,2009.0,3891.0,1517.0,2266.0,3786.0,7029.0,1072.0,5788.0
2021-03-03,3890.0,2061.0,4016.0,1524.0,2275.0,3909.0,7294.0,1120.0,5889.0
2021-03-04,3950.0,2029.0,4038.0,1503.0,2238.0,3908.0,7114.0,1104.0,5754.0
2021-03-05,4042.0,2040.0,3888.0,1519.0,2283.0,3770.0,7234.0,1132.0,5559.0
2021-03-08,4110.0,2101.0,3943.0,1500.0,2354.0,3839.0,7489.0,1211.0,5686.0
2021-03-09,3916.0,2037.0,3810.0,1453.0,2327.0,3712.0,7349.0,1137.0,5662.0
2021-03-10,3774.0,1965.0,3792.0,1474.0,2224.0,3697.0,7269.0,1065.0,5731.0
2021-03-11,3868.0,1903.0,3869.0,1450.0,2223.0,3794.0,7484.0,980.0,5825.0
2021-03-12,3890.0,1904.0,3897.0,1438.0,2213.0,3840.0,7539.0,991.0,5715.0
2021-03-15,3890.0,1884.0,3946.0,1487.0,2188.0,3930.0,7859.0,997.0,5772.0
2021-03-16,3794.0,1914.0,3870.0,1491.0,2204.0,3784.0,7874.0,1017.0,5803.0
2021-03-17,3886.0,1951.0,3945.0,1532.0,2202.0,3847.0,7879.0,1047.0,5782.0
2021-03-18,3890.0,1941.0,3925.0,1541.0,2169.0,3850.0,7719.0,1058.0,5929.0
2021-03-19,3636.0,1940.0,3908.0,1533.0,2076.0,3878.0,7569.0,1081.0,5817.0
2021-03-22,3698.0,1979.0,3953.0,1559.0,2099.0,3945.0,7574.0,1104.0,5683.0
2021-03-23,3696.0,1958.0,3910.0,1567.0,2095.0,3944.0,7449.0,1073.0,5702.0
2021-03-24,3664.0,1991.0,3970.0,1540.0,2092.0,3956.0,7374.0,1108.0,5610.0
2021-03-25,3650.0,2006.0,3954.0,1530.0,2089.0,3942.0,7444.0,1121.0,5586.0
2021-03-26,3766.0,2046.0,4060.0,1584.0,2098.0,4003.0,7634.0,1167.0,5632.0
2021-03-29,3738.0,2013.0,4113.0,1580.0,2120.0,4140.0,7589.0,1136.0,5572.0
2021-03-30,3732.0,2007.0,4135.0,1562.0,2138.0,4190.0,7449.0,1134.0,5507.0
2021-03-31,3718.0,1992.0,4084.0,1528.0,2097.0,4167.0,7384.0,1090.0,5425.0
2021-04-01,3710.0,2133.0,4168.0,1572.0,2104.0,4217.0,7564.0,1225.0,5476.0
2021-04-02,3812.0,2116.0,4353.0,1581.0,2164.0,4363.0,7734.0,1235.0,5631.0
2021-04-06,3866.0,2099.0,4381.0,1622.0,2188.0,4377.0,7734.0,1215.0,5589.0
2021-04-07,3910.0,2156.0,4351.0,1615.0,2197.0,4365.0,7689.0,1249.0,5629.0
2021-04-08,3752.0,2126.0,4349.0,1630.0,2190.0,4344.0,7674.0,1228.0,5675.0
